Opponent,Cluster,Cluster
AIR_FORCE,2,1
ALABAMA_A&M,8,1
ALCORN_STATE,1,1
ALCORN_STATE,2,1
ARMY,6,1
AUBURN,0,1
AUBURN,2,1
BOSTON_COLLEGE,0,2
BOSTON_COLLEGE,8,2
BOSTON_COLLEGE,3,1
BOSTON_COLLEGE,6,1
BOSTON_COLLEGE,9,1
BOWLING_GREEN_STATE,1,1
BOWLING_GREEN_STATE,5,1
BRIGHAM_YOUNG,1,1
BRIGHAM_YOUNG,3,1
BRIGHAM_YOUNG,5,1
BRIGHAM_YOUNG,6,1
CENTRAL_FLORIDA,0,2
CENTRAL_FLORIDA,4,1
CLEMSON,1,6
CLEMSON,6,5
CLEMSON,7,5
CLEMSON,5,3
CLEMSON,8,2
CLEMSON,0,1
CLEMSON,2,1
CLEMSON,3,1
CLEMSON,4,1
CONNECTICUT,6,2
CONNECTICUT,4,1
DUKE,0,4
DUKE,7,4
DUKE,1,3
DUKE,3,3
DUKE,5,3
DUKE,6,2
DUKE,2,1
DUKE,4,1
DUKE,8,1
DUKE,9,1
ELON,1,1
FLORIDA_STATE,1,2
FLORIDA_STATE,2,2
FLORIDA_STATE,5,2
FLORIDA_STATE,8,2
FLORIDA_STATE,0,1
FLORIDA_STATE,6,1
FLORIDA_STATE,7,1
FRESNO_STATE,0,1
FRESNO_STATE,7,1
GARDNER-WEBB,3,1
GEORGIA,2,9
GEORGIA,4,3
GEORGIA,3,2
GEORGIA,6,2
GEORGIA,7,2
GEORGIA,9,2
GEORGIA,1,1
GEORGIA,5,1
GEORGIA_SOUTHERN,1,1
GEORGIA_SOUTHERN,3,1
IOWA,4,1
JACKSONVILLE_STATE,7,2
JACKSONVILLE_STATE,1,1
KANSAS,3,2
KENNESAW_STATE,3,1
KENTUCKY,2,1
LOUISIANA_STATE,1,1
LOUISIANA_STATE,6,1
LOUISVILLE,1,1
LOUISVILLE,5,1
LOUISVILLE,8,1
MARYLAND,0,3
MARYLAND,1,2
MARYLAND,2,1
MARYLAND,6,1
MARYLAND,7,1
MARYLAND,9,1
MERCER,3,1
MIAMI_(FL),8,5
MIAMI_(FL),7,4
MIAMI_(FL),3,2
MIAMI_(FL),5,2
MIAMI_(FL),6,2
MIAMI_(FL),0,1
MIAMI_(FL),1,1
MIAMI_(FL),2,1
MIAMI_(FL),4,1
MIDDLE_TENNESSEE_STATE,1,2
MIDDLE_TENNESSEE_STATE,7,1
MINNESOTA,2,1
MISSISSIPPI,2,1
MISSISSIPPI,3,1
MISSISSIPPI,5,1
MISSISSIPPI_STATE,2,2
MISSISSIPPI_STATE,1,1
NAVY,2,1
NAVY,5,1
NORTHERN_ILLINOIS,6,1
NORTH_CAROLINA,5,5
NORTH_CAROLINA,1,4
NORTH_CAROLINA,7,4
NORTH_CAROLINA,3,3
NORTH_CAROLINA,9,3
NORTH_CAROLINA,6,2
NORTH_CAROLINA,8,2
NORTH_CAROLINA_STATE,0,3
NORTH_CAROLINA_STATE,1,2
NORTH_CAROLINA_STATE,6,2
NORTH_CAROLINA_STATE,2,1
NORTH_CAROLINA_STATE,5,1
NORTH_CAROLINA_STATE,7,1
NORTH_CAROLINA_STATE,8,1
NORTH_CAROLINA_STATE,9,1
NOTRE_DAME,0,2
NOTRE_DAME,1,1
NOTRE_DAME,2,1
NOTRE_DAME,6,1
PITTSBURGH,2,3
PITTSBURGH,3,2
PITTSBURGH,6,2
PITTSBURGH,0,1
PITTSBURGH,1,1
PITTSBURGH,7,1
PRESBYTERIAN,3,1
SAMFORD,0,1
SAMFORD,6,1
SAMFORD,7,1
SOUTHERN_CALIFORNIA,1,1
SOUTH_CAROLINA_STATE,0,1
SOUTH_CAROLINA_STATE,1,1
SOUTH_FLORIDA,5,1
SOUTH_FLORIDA,7,1
STANFORD,2,1
SYRACUSE,0,2
SYRACUSE,1,1
SYRACUSE,3,1
SYRACUSE,4,1
TEMPLE,7,1
TENNESSEE,1,1
THE_CITADEL,2,1
THE_CITADEL,3,1
TROY,3,1
TULANE,3,1
TULANE,7,1
TULSA,6,1
UTAH,2,2
VANDERBILT,1,2
VANDERBILT,6,2
VIRGINIA,1,5
VIRGINIA,6,5
VIRGINIA,7,4
VIRGINIA,5,3
VIRGINIA,9,3
VIRGINIA,8,2
VIRGINIA,2,1
VIRGINIA_TECH,8,6
VIRGINIA_TECH,1,3
VIRGINIA_TECH,0,2
VIRGINIA_TECH,5,2
VIRGINIA_TECH,7,2
VIRGINIA_TECH,3,1
VIRGINIA_TECH,4,1
VIRGINIA_TECH,6,1
WAKE_FOREST,0,3
WAKE_FOREST,2,2
WAKE_FOREST,5,2
WAKE_FOREST,3,1
WAKE_FOREST,6,1
WAKE_FOREST,8,1
WESTERN_CAROLINA,4,2
WEST_VIRGINIA,2,1
WOFFORD,2,1
